Date,data
20:01.0,-0.003311
20:01.9,-0.005135
20:02.9,-0.00368
20:03.9,-0.001965
20:04.8,-0.002877
20:05.8,-0.003094
20:06.7,-0.002508
20:07.7,-0.003463
20:08.7,-0.004592
20:09.6,-0.003485
20:10.6,-0.002334
20:11.5,-0.002747
20:12.5,-0.002877
20:13.5,-0.002899
20:14.4,-0.003572
20:15.4,-0.004223
20:16.3,-0.003463
20:17.3,-0.002443
20:18.3,-0.002291
20:19.2,-0.002964
20:20.2,-0.003203
20:21.1,-0.003507
20:22.1,-0.004049
20:23.1,-0.003572
20:24.0,-0.002182
20:25.0,-0.002117
20:25.9,-0.003159
20:26.9,-0.003442
20:27.9,-0.003528
20:28.8,-0.004136
20:29.8,-0.003442
20:30.7,-0.001857
20:31.7,-0.002117
20:32.7,-0.003528
20:33.6,-0.003615
20:34.6,-0.003724
20:35.5,-0.004114
20:36.5,-0.002877
20:37.5,-0.001401
20:38.4,-0.002421
20:39.4,-0.003811
20:40.3,-0.003724
20:41.3,-0.003854
20:42.3,-0.003897
20:43.2,-0.002182
20:44.2,-0.001488
20:45.1,-0.002986
20:46.1,-0.004049
20:47.1,-0.004049
20:48.0,-0.004006
20:49.0,-0.003094
20:49.9,-0.001748
20:50.9,-0.002009
20:51.9,-0.003398
20:52.8,-0.004266
20:53.8,-0.004418
20:54.7,-0.003528
20:55.7,-0.002226
20:56.7,-0.001792
20:57.6,-0.002486
20:58.6,-0.003702
20:59.5,-0.004657
21:00.5,-0.004223
21:01.5,-0.002617
21:02.4,-0.001792
21:03.4,-0.002117
21:04.3,-0.002986
21:05.3,-0.004201
21:06.3,-0.004874
21:07.2,-0.003637
21:08.2,-0.001944
21:09.1,-0.001813
21:10.1,-0.002747
21:11.1,-0.003593
21:12.0,-0.004549
21:13.0,-0.004614
21:13.9,-0.002877
21:14.9,-0.001444
21:15.9,-0.002074
21:16.8,-0.003311
21:17.8,-0.004114
21:18.7,-0.004657
21:19.7,-0.003897
21:20.7,-0.002117
21:21.6,-0.001509
21:22.6,-0.002551
21:23.5,-0.003984
21:24.5,-0.004462
21:25.5,-0.004288
21:26.4,-0.003116
21:27.4,-0.001683
21:28.3,-0.00177
21:29.3,-0.003485
21:30.3,-0.004375
21:31.2,-0.004462
21:32.2,-0.003702
21:33.1,-0.002443
21:34.1,-0.001575
21:35.1,-0.002551
21:36.0,-0.004006
21:37.0,-0.004549
21:37.9,-0.004049
21:38.9,-0.002986
21:39.9,-0.001857
21:40.8,-0.001987
21:41.8,-0.003246
21:42.7,-0.004223
21:43.7,-0.004462
21:44.7,-0.003593
21:45.6,-0.002117
21:46.6,-0.001748
21:47.5,-0.002899
21:48.5,-0.003637
21:49.5,-0.004288
21:50.4,-0.004332
21:51.4,-0.002725
21:52.3,-0.001835
21:53.3,-0.003398
21:54.3,-0.004136
21:55.2,-0.003203
21:56.2,-0.004505
21:57.1,-0.004158
21:58.1,-0.001379
21:59.1,-0.001727
22:00.0,-0.003789
22:01.0,-0.003745
22:01.9,-0.003702
22:02.9,-0.004049
22:03.9,-0.002703
22:04.8,-0.00177
22:05.8,-0.002551
22:06.7,-0.00355
22:07.7,-0.004006
22:08.7,-0.003876
22:09.6,-0.002877
22:10.6,-0.002486
22:11.5,-0.002508
22:12.5,-0.002812
22:13.5,-0.003659
22:14.4,-0.004483
22:15.4,-0.003333
22:16.3,-0.002378
22:17.3,-0.002877
22:18.3,-0.002942
22:19.2,-0.002899
22:20.2,-0.004028
22:21.1,-0.004114
22:22.1,-0.002009
22:23.1,-0.001661
22:24.0,-0.004006
22:25.0,-0.003311
22:25.9,-0.002573
22:26.9,-0.004158
22:27.9,-0.003767
22:28.8,-0.001835
22:29.8,-0.002551
22:30.7,-0.004049
22:31.7,-0.003507
22:32.7,-0.003138
22:33.6,-0.00355
22:34.6,-0.002877
22:35.5,-0.0024
22:36.5,-0.003181
22:37.5,-0.004093
22:38.4,-0.003854
22:39.4,-0.003051
22:40.3,-0.002595
22:41.3,-0.002812
22:42.3,-0.003029
22:43.2,-0.003528
22:44.2,-0.004201
22:45.1,-0.003811
22:46.1,-0.0024
22:47.1,-0.002204
22:48.0,-0.003246
22:49.0,-0.003637
22:49.9,-0.003832
22:50.9,-0.004983
22:51.9,-0.004245
22:52.8,-0.001271
22:53.8,-0.002182
22:54.7,-0.004332
22:55.7,-0.003311
22:56.7,-0.003138
22:57.6,-0.004701
22:58.6,-0.003051
22:59.5,-0.00114
23:00.5,-0.002899
23:01.5,-0.004332
23:02.4,-0.003659
23:03.4,-0.003789
23:04.3,-0.003745
23:05.3,-0.002052
23:06.3,-0.001705
23:07.2,-0.003333
23:08.2,-0.004332
23:09.1,-0.004071
23:10.1,-0.003485
23:11.1,-0.002551
23:12.0,-0.001813
23:13.0,-0.002443
23:13.9,-0.00368
23:14.9,-0.00444
23:15.9,-0.004049
23:16.8,-0.002769
23:17.8,-0.001792
23:18.7,-0.002161
23:19.7,-0.002465
23:20.7,-0.003007
23:21.6,-0.005591
23:22.6,-0.004332
23:23.5,-0.000989
23:24.5,-0.001922
23:25.5,-0.003485
23:26.4,-0.002855
23:27.4,-0.003854
23:28.3,-0.005352
23:29.3,-0.003159
23:30.3,-0.001119
23:31.2,-0.002096
23:32.2,-0.003138
23:33.1,-0.003485
23:34.1,-0.004549
23:35.1,-0.004353
23:36.0,-0.002573
23:37.0,-0.001401
23:37.9,-0.002117
23:38.9,-0.00342
23:39.9,-0.00457
23:40.8,-0.004592
23:41.8,-0.003593
23:42.7,-0.002313
23:43.7,-0.001596
23:44.7,-0.002204
23:45.6,-0.004245
23:46.6,-0.005048
23:47.5,-0.003941
23:48.5,-0.002921
23:49.5,-0.002161
23:50.4,-0.001488
23:51.4,-0.002769
23:52.3,-0.004874
23:53.3,-0.004874
23:54.3,-0.003181
23:55.2,-0.002508
23:56.2,-0.002052
23:57.1,-0.001944
23:58.1,-0.00355
23:59.1,-0.005417
24:00.0,-0.004418
24:01.0,-0.002725
24:01.9,-0.002204
24:02.9,-0.002096
24:03.9,-0.002551
24:04.8,-0.004353
24:05.8,-0.005156
24:06.7,-0.003789
24:07.7,-0.002248
24:08.7,-0.001879
24:09.6,-0.002226
24:10.6,-0.00342
24:11.5,-0.004657
24:12.5,-0.00457
24:13.5,-0.003138
24:14.4,-0.001835
24:15.4,-0.001727
24:16.3,-0.002964
24:17.3,-0.003333
24:18.3,-0.003876
24:19.2,-0.005113
24:20.2,-0.002834
24:21.1,-0.000837
24:22.1,-0.002703
20:01.0,-0.002703
20:01.9,-0.000837
20:02.9,-0.002834
20:03.9,-0.005113
20:04.8,-0.003876
20:05.8,-0.003333
20:06.7,-0.002964
20:07.7,-0.001727
20:08.7,-0.001835
20:09.6,-0.003138
20:10.6,-0.00457
20:11.5,-0.004657
20:12.5,-0.00342
20:13.5,-0.002226
20:14.4,-0.001879
20:15.4,-0.002248
20:16.3,-0.003789
20:17.3,-0.005156
20:18.3,-0.004353
20:19.2,-0.002551
20:20.2,-0.002096
20:21.1,-0.002204
20:22.1,-0.002725
20:23.1,-0.004418
20:24.0,-0.005417
20:25.0,-0.00355
20:25.9,-0.001944
20:26.9,-0.002052
20:27.9,-0.002508
20:28.8,-0.003181
20:29.8,-0.004874
20:30.7,-0.004874
20:31.7,-0.002769
20:32.7,-0.001488
20:33.6,-0.002161
20:34.6,-0.002921
20:35.5,-0.003941
20:36.5,-0.005048
20:37.5,-0.004245
20:38.4,-0.002204
20:39.4,-0.001596
20:40.3,-0.002313
20:41.3,-0.003593
20:42.3,-0.004592
20:43.2,-0.00457
20:44.2,-0.00342
20:45.1,-0.002117
20:46.1,-0.001401
20:47.1,-0.002573
20:48.0,-0.004353
20:49.0,-0.004549
20:49.9,-0.003485
20:50.9,-0.003138
20:51.9,-0.002096
20:52.8,-0.001119
20:53.8,-0.003159
20:54.7,-0.005352
20:55.7,-0.003854
20:56.7,-0.002855
20:57.6,-0.003485
20:58.6,-0.001922
20:59.5,-0.000989
21:00.5,-0.004332
21:01.5,-0.005591
21:02.4,-0.003007
21:03.4,-0.002465
21:04.3,-0.002161
21:05.3,-0.001792
21:06.3,-0.002769
21:07.2,-0.004049
21:08.2,-0.00444
21:09.1,-0.00368
21:10.1,-0.002443
21:11.1,-0.001813
21:12.0,-0.002551
21:13.0,-0.003485
21:13.9,-0.004071
21:14.9,-0.004332
21:15.9,-0.003333
21:16.8,-0.001705
21:17.8,-0.002052
21:18.7,-0.003745
21:19.7,-0.003789
21:20.7,-0.003659
21:21.6,-0.004332
21:22.6,-0.002899
21:23.5,-0.00114
21:24.5,-0.003051
21:25.5,-0.004701
21:26.4,-0.003138
21:27.4,-0.003311
21:28.3,-0.004332
21:29.3,-0.002182
21:30.3,-0.001271
21:31.2,-0.004245
21:32.2,-0.004983
21:33.1,-0.003832
21:34.1,-0.003637
21:35.1,-0.003246
21:36.0,-0.002204
21:37.0,-0.0024
21:37.9,-0.003811
21:38.9,-0.004201
21:39.9,-0.003528
21:40.8,-0.003029
21:41.8,-0.002812
21:42.7,-0.002595
21:43.7,-0.003051
21:44.7,-0.003854
21:45.6,-0.004093
21:46.6,-0.003181
21:47.5,-0.0024
21:48.5,-0.002877
21:49.5,-0.00355
21:50.4,-0.003138
21:51.4,-0.003507
21:52.3,-0.004049
21:53.3,-0.002551
21:54.3,-0.001835
21:55.2,-0.003767
21:56.2,-0.004158
21:57.1,-0.002573
21:58.1,-0.003311
21:59.1,-0.004006
22:00.0,-0.001661
22:01.0,-0.002009
22:01.9,-0.004114
22:02.9,-0.004028
22:03.9,-0.002899
22:04.8,-0.002942
22:05.8,-0.002877
22:06.7,-0.002378
22:07.7,-0.003333
22:08.7,-0.004483
22:09.6,-0.003659
22:10.6,-0.002812
22:11.5,-0.002508
22:12.5,-0.002486
22:13.5,-0.002877
22:14.4,-0.003876
22:15.4,-0.004006
22:16.3,-0.00355
22:17.3,-0.002551
22:18.3,-0.00177
22:19.2,-0.002703
22:20.2,-0.004049
22:21.1,-0.003702
22:22.1,-0.003745
22:23.1,-0.003789
22:24.0,-0.001727
22:25.0,-0.001379
22:25.9,-0.004158
22:26.9,-0.004505
22:27.9,-0.003203
22:28.8,-0.004136
22:29.8,-0.003398
22:30.7,-0.001835
22:31.7,-0.002725
22:32.7,-0.004332
22:33.6,-0.004288
22:34.6,-0.003637
22:35.5,-0.002899
22:36.5,-0.001748
22:37.5,-0.002117
22:38.4,-0.003593
22:39.4,-0.004462
22:40.3,-0.004223
22:41.3,-0.003246
22:42.3,-0.001987
22:43.2,-0.001857
22:44.2,-0.002986
22:45.1,-0.004049
22:46.1,-0.004549
22:47.1,-0.004006
22:48.0,-0.002551
22:49.0,-0.001575
22:49.9,-0.002443
22:50.9,-0.003702
22:51.9,-0.004462
22:52.8,-0.004375
22:53.8,-0.003485
22:54.7,-0.00177
22:55.7,-0.001683
22:56.7,-0.003116
22:57.6,-0.004288
22:58.6,-0.004462
22:59.5,-0.003984
23:00.5,-0.002551
23:01.5,-0.001509
